User, Duration, Views, Title
, 8:53, 3654757, ALL TIME GREATEST AIRPLANE SEAT - Emirates First Class Suite
, 3:45, 77891, Khalid - Saved (Official Video)
, 5:02, 1136464, Honest Trailers - Star Wars: Episode VI - Return of the Jedi
, 2:25, 2985274, Annihilation (2018) - Official Trailer - Paramount Pictures
, 42:10, 905618, Lavar Ball &amp; Sons On Family Business COMMA Discipline COMMA Donald Trump + More
, 3:55, 1168087, How to Hijack Amazon Prime Now for Good
, 17:30, 1664297, Everything Wrong With Rogue One: A Star Wars Story
, 4:17, 309190, Amber Explains How Black Women Saved America from Roy Moore
, 8:25, 842229, Star Wars Cast Takes &quot;Which Star Wars Character Are You?&quot; Quiz
, 2:36, 63481, Sam Smith - Have Yourself A Merry Little Christmas in the Live Lounge
, 3:30, 379888, Bleach Blonde Baby (Official Video)
, 7:53, 570525, Joe Biden Speaks With Meghan McCain About His Late Son Beau&#39;s Battle With Cancer | The View
, 4:06, 175135, DJ Earworm Mashup - United State of Pop 2017 (How We Do It)
, 3:16, 6663, Keith Urban - Female (Lyric Video)
, 3:24, 207739, Jennifer Hudson: “Burden Down” - The Voice 2017
, 4:40, 288652997, Ed Sheeran - Perfect (Official Music Video)
, 6:43, 331571769, Camila Cabello - Havana ft. Young Thug
, 4:08, 197649635, Khalid - Young Dumb &amp; Broke (Official Video)
, 3:39, 310001503, Camila Cabello - Havana (Audio) ft. Young Thug
, 4:24, 2866270555, Ed Sheeran - Shape of You [Official Video]
, 4:25, 382669339, Sam Smith - Too Good At Goodbyes (Official Video)
, 3:45, 782007067, Dua Lipa - New Rules (Official Music Video)
, 4:42, 4506245778, Luis Fonsi - Despacito ft. Daddy Yankee
, 5:02, 2452879141, Maroon 5 - Sugar
, 5:38, 499416597, ZAYN - Dusk Till Dawn ft. Sia
, 3:16, 357107016, Shakira - Perro Fiel (Official Video) ft. Nicky Jam
, 3:32, 794004192, Becky G COMMA Bad Bunny - Mayores (Official Video)
, 5:22, 879172653, DJ Khaled - I&#39;m the One ft. Justin Bieber COMMA Quavo COMMA Chance the Rapper COMMA Lil Wayne
, 4:57, 1990134873, Ed Sheeran - Thinking Out Loud [Official Video]
, 4:24, 194292947, Ed Sheeran - Perfect [Official Lyric Video]
, 8:34, 1020923, 5&#39;5&quot; Yuuki Okubo SHUTS UP Crowd MOCKING His Height! Shareef BACK FROM INJURY + DJ Houston BUCKETS
, 2:13, 1295951, Dennis Smith Jr  TAUNTS Kyrie Irving then gets Schooled Immediately!
, 4:36, 1574745, The SHORTEST NBA Career EVER! - 3.7 SECONDS!
, 8:31, 22659314, Professor vs Trash Talker 1v1 for $100.. EPIC beach court
, 13:45, 19911555, Michael Jordan last 3 minutes in his FINAL BULLS GAME vs Jazz (1998)
, 1:02, 1624649, NY reporter didn&#39;t realize she was interviewing Klay Thompson
, 5:30, 39863422, Airplane Trick Shots | Dude Perfect
, 4:34, 4656796, NBA Top 15 Smartest Plays Ever
, 5:28, 8218837, Pretending To Be Klay Thompson
, 5:28, 62873146, Pickup Basketball Stereotypes
, 7:02, 15963749, JABBAWOCKEEZ at the NBA Finals 2017
, 11:58, 5135048, NBA Greatest Crowd Reactions of All Time!!!
, 6:09, 8574331, Most Savage Moments in Sports History
, 11:32, 613393, LiAngelo Ball and LaMelo Ball GIVE UP BASKETBALL FOREVER!! Lavar Ball Just Killed Their Careers.
, 9:44, 5336208, Golden State Warriors vs Boston Celtics Full Game Highlights / Week 5 / 2017 NBA Season
, 11:30, 3634625, 10 Detective Riddles Only the Most Attentive 1% Can Solve
, 10:09, 5168462, Scientists Finally Discovered the Truth About Easter Island
, 9:51, 149406, We Checked What Happens When You Quit Coffee for a Month
, 9:09, 16502856, If You See This COMMA Run Fast and Ask for Help!
, 8:16, 3919888, 10 Incredibly Expensive Things Only the Richest 1% Can Afford
, 12:37, 3788329, 15 Examples of Japanese Etiquette That Will Drive You Crazy
, 11:13, 4883566, 10 Dangerous Things That Used to Be Normal in the Past
, 13:21, 377708, A Simple Test Will Show If You Are a Genuine Introvert
, 12:57, 2735366, Only the Most Attentive 4% Will Pass This Test
, 12:17, 2468371, Making an Acid Etched Superconductor Ring with Obsidian Facets
, 11:49, 18678, 5 Scariest Things That Appeared Out Of Nowhere!
, 10:29, 535964, Photographs Mainstream Archaeology Does Not Want You to See
, 1:45, 12922824, Crushing 21 Batteries with Big Hydraulic Press
, 11:08, 5044962, she didn&#39;t survive this wave.. (caught on tape)
, 10:29, 856986, 16 Walmart People You Won&#39;t Believe
, 3:30, 6335548, 6 Things You Should Never Do After Eating
, 3:55, 1168087, How to Hijack Amazon Prime Now for Good
, 6:53, 25310056, Bloody Period PRANK!
, 10:52, 636099, WE WENT ON OUR FIRST DATE ...
, 2:13, 261392, PLAY | 3 &quot;Snow&quot; Activities!
, 15:06, 160828, Finding Out About My Girlfriends EX BOYFRIEND! *She Cried*
, 21:14, 400899, We Got Pranked 😂 (WK 362.6) | Bratayley
, 7:21, 309016, Joey Graceffa and I Test Out Crazy Things!! Vlogmas Day 12!!
, 20:02, 9403, Wacky Wednesday : Legends Awakened and Platinum Pokemon TCG Packs
, 2:27, 37398627, Jurassic World: Fallen Kingdom - Official Trailer [HD]
, 5:12, 3558505, JURASSIC WORLD 2: First Look Trailer (2018)
, 2:25, 100972194, Marvel Studios&#39; Avengers: Infinity War Official Trailer
, 2:17, 11410612, Marvel&#39;s VENOM (2018) Full Trailer #1 - Tom Hardy Marvel Movie [HD] Concept
, 1:23, 8085749, SPIDER-MAN: INTO THE SPIDER-VERSE - Official Teaser Trailer
, 2:26, 10474229, READY PLAYER ONE - Official Trailer 1 [HD]
, 3:03, 3498364, JURASSIC WORLD 2 Trailer Teaser Jeff Goldblum (2018) Jurassic Park Movie HD
, 1:55, 6116188, Alita: Battle Angel | Official Trailer [HD] | 20th Century FOX
, 0:53, 71816221, Incredibles 2 Official Teaser Trailer
, 5:17, 2373243, JURASSIC WORLD 2: Fallen Kingdom Trailer (Extended) 2018
, 2:35, 42228705, Star Wars: The Last Jedi Trailer (Official)
, 13:59, 15177736, TOP UPCOMING ANIMATED MOVIES 2018 (Trailer)
, 0:16, 8167148, Jurassic World: Fallen Kingdom - Trailer Thursday (Run) (HD)
, 2:33, 2968890, Maze Runner: The Death Cure | Official Final Trailer [HD] | 20th Century FOX
, 2:14, 4254323, Jurassic World: Fallen Kingdom - Trailer Thursday (Zach King Trailer Tease) (HD)
, 6:53, 5320325, Best &quot;Big Guy&quot; Moments in NFL History
, 6:39, 1245221, NFL Worst Effort Plays
, 4:09, 2535534, NFL Craziest Fan Distractions of All-Time
, 2:26, 1081111, NFL Funniest Player Introductions
, 11:23, 7577064, Most Disrespectful and Humiliating Plays in NFL history
, 5:38, 7519282, NFL Smartest Plays Of All Time (2017)
, 8:12, 8191083, NFL &quot;What Are You Doing?&quot; Moments
, 10:23, 1480131, Patriots vs. Dolphins | NFL Week 14 Game Highlights
, 9:42, 1273076, Saints vs. Falcons | NFL Week 14 Game Highlights
, 6:04, 5013115, Most INSANE Catches in Football History
, 4:33, 11460785, Top 5 Worst Plays Of All Time | NFL
, 7:11, 789065, Cowboys vs. Giants | NFL Week 14 Game Highlights
, 14:10, 1378960, Ravens vs. Steelers | NFL Week 14 Game Highlights
, 12:25, 1125863, Eagles vs. Rams | NFL Week 14 Game Highlights
, 11:06, 947924, Seahawks vs. Jaguars | NFL Week 14 Game Highlights
, 4:25, 6647635, Matt Damon Ruins Chris Hemsworth Interview
, 3:51, 3788105, Kate McKinnon Shows Off Her Gal Gadot Impression
, 13:20, 878872, Mark Hamill: The Best Star Wars Fans Are &#39;U-P-Fs&#39;
, 8:24, 1488684, Mad Lib Theater with John Cena
, 4:57, 2048429, Zendaya Shows One of Her and Zac Efron&#39;s Trapeze Fails for The Greatest Showman
, 7:28, 740430, Matt Damon Explains Why &#39;Good Will Hunting&#39; Has So Much Cursing
, 21:11, 684921, Kim Kardashian Caught Stealing
, 5:44, 14080879, Bill Skarsgård on Playing Pennywise the Clown
, 18:30, 16250017, Guest Host Jennifer Lawrence Interviews Kim Kardashian West
, 8:44, 14516739, Spill Your Guts or Fill Your Guts w/ Kim Kardashian
, 6:46, 9637017, The Boys of Stranger Things Are Obsessed with High School Musical
, 6:32, 961211, Lost &#39;Star Wars&#39; Footage Of Luke Skywalker At The Cantina
, 3:30, 780885, Roy Moore Loves Putin Just As Much As Trump
, 11:55, 3012828, Trump Attacks Protesting Athletes: A Closer Look
, 13:25, 1194998, Rachel &amp; Bryan: Life after The Bachelorette
